 exp   x    Q2    WSQ   F2Dp_data   F2Dp_err  F2Dp_norm  F2Dp_f1f217   F2Dp_ineft   F2d_f1f217   F2p_f1f217      F2d_ineft   F2p_ineft
2.0   0.55000  10.85800   9.76417      0.77330      0.02480      0.00000          1.47571          0.73981          0.15164          0.10276          0.07981          0.10788
2.0   0.46900   9.80400  11.98041      0.74250      0.02180      0.00000          1.56558          0.76370          0.24679          0.15764          0.12465          0.16322
2.0   0.41600   9.06200  13.60201      0.79660      0.02080      0.00000          1.63847          0.78174          0.32072          0.19575          0.15885          0.20320
2.0   0.36100   8.19800  15.39150      0.81050      0.02180      0.00000          1.64839          0.80251          0.38878          0.23585          0.19681          0.24525
2.0   0.30800   7.30400  17.29064      0.82390      0.02180      0.00000          1.65046          0.82480          0.45051          0.27296          0.23376          0.28342
2.0   0.27300   6.68200  18.67455      0.83580      0.03470      0.00000          1.62761          0.84090          0.48139          0.29576          0.25719          0.30584
2.0   0.25100   6.26400  19.57253      0.83080      0.03470      0.00000          1.60852          0.85162          0.49735          0.30920          0.27109          0.31832
2.0   0.22400   5.71100  20.66489      0.86160      0.02480      0.00000          1.60579          0.86543          0.52113          0.32453          0.28688          0.33149
2.0   0.19600   5.13600  21.94844      0.83720      0.02480      0.00000          1.63726          0.88049          0.55455          0.33871          0.30132          0.34222
2.0   0.17100   4.59400  23.15185      0.93550      0.04170      0.00000          1.68591          0.89454          0.58939          0.34960          0.31208          0.34888
2.0   0.15300   4.17600  23.99847      0.87740      0.04360      0.00000          1.72062          0.90494          0.61276          0.35613          0.31827          0.35170
2.0   0.13400   3.71800  24.90862      0.88190      0.05260      0.00000          1.74533          0.91613          0.63094          0.36150          0.32308          0.35266
2.0   0.11800   3.34100  25.85291      1.06890      0.06840      0.00000          1.75079          0.92566          0.63844          0.36466          0.32559          0.35174
2.0   0.10500   3.00500  26.49440      0.91910      0.05160      0.00000          1.74506          0.93343          0.63835          0.36581          0.32620          0.34947
2.0   0.08600   2.50600  27.51389      0.84960      0.11610      0.00000          1.71210          0.94477          0.62444          0.36472          0.32436          0.34332
